match_id,victoires_dom_5,nuls_dom_5,defaites_dom_5,victoires_ext_5,nuls_ext_5,defaites_ext_5,buts_marques_dom_moy,buts_encaisses_dom_moy,buts_marques_ext_moy,buts_encaisses_ext_moy,h2h_dom_wins,h2h_nuls,h2h_ext_wins,resultat
410,1,0,1,1,1,0,1.5,2,1.5,0.5,0,0,0,1
312,3,1,1,3,0,2,1,0.33,0.67,0.33,2,1,0,2
315,1,1,3,2,2,1,0,0.67,0.67,0.67,0,1,1,1
316,0,0,3,1,0,4,0.33,1.33,1,1.33,0,0,0,2
317,2,1,2,3,1,1,1.33,1.67,1.33,0.67,0,0,1,2
313,2,2,1,3,1,1,1,0.67,1.33,1,2,1,1,2
318,1,1,3,1,2,2,0.33,1,0.67,1,0,0,1,1
314,3,1,1,2,3,0,1.33,0.67,0.67,0.33,3,0,1,2
413,2,1,0,1,0,2,1,0,0.67,1,0,0,0,2
414,1,1,1,1,0,2,0.67,0.33,0.67,1.33,0,0,0,1
415,1,0,2,0,1,2,0.33,1.33,1,2,0,0,0,1
416,2,1,0,1,0,2,1,0.33,1,1.67,0,0,0,2
417,1,0,2,1,1,1,0.67,1,1,1.33,0,0,0,1
418,2,0,1,1,1,1,1.33,0.67,1.67,1.67,0,0,0,2
419,1,2,0,2,1,0,1,0.33,2,1,0,0,0,1
420,1,0,2,1,1,1,1.33,1.33,1.67,1.67,0,0,0,2
323,2,1,2,0,2,3,1,0.75,0.25,0.75,2,0,0,2
319,3,0,2,2,1,2,0.5,0.5,1,1,2,1,0,2
320,2,2,1,4,1,0,0.5,0.75,1,0.25,1,2,1,0
321,2,2,1,3,1,1,0.75,0.75,1,0.5,1,1,0,0
322,1,0,4,4,1,0,0.75,1.25,1.5,0.5,1,0,1,1
324,1,2,2,1,0,3,0.75,1,0.5,1,0,0,0,1
325,0,2,3,2,1,2,0.5,1,1.25,1.25,0,0,1,2
421,1,0,3,1,1,2,0.75,1.25,0.75,1.25,0,0,0,1
428,2,0,2,1,3,0,1.75,1.25,0.75,0.25,0,0,0,2
427,1,1,2,3,0,1,1.5,2,1.75,0.5,0,0,0,2
426,2,2,0,1,1,2,1.5,0.75,1,1.25,0,0,0,0
425,1,1,2,3,1,0,1.25,2,1.5,0.75,0,0,0,0
424,1,2,1,1,1,2,1.25,1.5,0.75,1.5,0,0,0,1
423,1,0,3,1,2,1,1.25,2,0.75,0.5,0,0,0,0
422,0,2,2,3,1,0,1.25,2,1.25,0.25,0,0,0,1
331,0,2,3,1,2,2,0.4,1,0.6,0.8,0,0,1,2
326,1,2,2,3,0,2,0.6,1,0.8,0.4,1,1,1,0
327,2,0,3,1,2,2,0.8,1.2,0.6,0.8,2,0,0,2
328,4,1,0,1,1,3,1.2,0.4,0.8,1.2,1,0,1,2
329,3,1,1,3,1,1,1,0.4,1.2,0.8,1,1,0,2
330,3,2,0,1,2,2,1.4,0.6,0.8,1,1,1,0,2
332,1,1,3,2,1,2,0.6,1,1,1.2,0,0,0,2
436,3,0,2,1,3,1,1.4,0.8,0.6,0.8,0,0,0,2
429,0,3,2,1,1,3,1.4,2,0.8,1.2,0,0,0,2
